paper_id,score,title,authors,session_type,session_time,session_location,pdf_url,relevant_to_users,read_by_users,topics
4225008,95,Open CaptchaWorld: A Comprehensive Web-based Platform for Testing and Benchmarking Multimodal LLM Agents,"Yaxin Luo, Zhaoyi Li, Jiacheng Liu, Jiacheng Cui, Xiaohan Zhao, Zhiqiang Shen",SD-4-2513,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.24878,5,13,
4157580,93,REAL: Benchmarking Autonomous Agents on Deterministic Simulations of Real Websites,"Div Garg, Diego Caples, Andis Draguns, Nikil Ravi, Pranav Putta, Naman Garg, Prannay Hebbar, Youngchul Joo, Jindong Gu, ..., Sumeet Motwani",SD-2-3602,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2504.11543,5,11,
4285740,92,How to Train Your LLM Web Agent: A Statistical Diagnosis,"Dheeraj Vattikonda, Santhoshi Ravichandran, Emiliano Penaloza, Hadi Nekoei, Thibault Le Sellier de Chezelles, Megh Thakkar, Nicolas Gontier, Miguel MuÃ±oz-MÃ¡rmol, Sahar Omidi Shayegan, ..., Massimo Caccia",SD-1-4109,,"Exhibit Hall C,D,E",https://openreview.net/pdf/0252f1f5697c0153740a7438e473e45964e85102.pdf,4,14,
3968305,92,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,"Frank (Fangzheng) Xu, Yufan Song, Boxuan Li, Yuxuan Tang, Kritanjali Jain, Mengxue Bao, Zora Wang, Xuhui Zhou, Zhitong Guo, ..., Graham Neubig",SD-2-402,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2412.14161,15,24,
4269003,92,Mind2Web 2: Evaluating Agentic Search with Agent-as-a-Judge,"Boyu Gou, Zanming Huang, Yuting Ning, Yu Gu, Michael Lin, Weijian Qi, Andrei Kopanev, Botao Yu, Bernal Jimenez Gutierrez, ..., Yu Su",SD-3-1915,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2506.21506,9,13,
4484068,92,AGENTIF: Benchmarking Large Language Models Instruction Following Ability in Agentic Scenarios,"Yunjia Qi, Hao Peng, Xiaozhi Wang, Amy Xin, Youfeng Liu, Bin Xu, Lei Hou, Juanzi Li",SD-6-114,,"Exhibit Hall C,D,E",,2,2,
4226664,91,RiOSWorld: Benchmarking the Risk of Multimodal Computer-Use Agents,"Yang JingYi, Shuai Shao, Dongrui Liu, Jing Shao",SD-1-1201,,"Exhibit Hall C,D,E",https://openreview.net/pdf/11ac207fff4f7439cb345f2e79ef2a6fb5611910.pdf,3,6,
4173087,91,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,"Ivan Evtimov, Arman Zharmagambetov, Aaron Grattafiori, Chuan Guo, Kamalika Chaudhuri",SD-2-1311,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2504.18575,6,13,
4210978,90,T1: A Tool-Oriented Conversational Dataset for Multi-Turn Agentic Planning,"Amartya Chakraborty, Paresh Dashore, Nadia Bathaee, Anmol Jain, Anirban Das, Shi-Xiong Zhang, Sambit Sahu, Milind Naphade, Genta Winata",SD-4-1912,,"Exhibit Hall C,D,E",https://arxiv.org/pdf/2505.16986,2,6,
4441888,89,$\texttt{G1}$: Teaching LLMs to Reason on Graphs with Reinforcement Learning,"Xiaojun Guo, Ang Li, Yifei Wang, Stefanie Jegelka, Yisen Wang",SD-2-2800,,"Exhibit Hall C,D,E",https://openreview.net/pdf/eb95dfb11f1b0c705f2e368d650f0af1afbef02b.pdf,4,12,
